username,total_comments,sentiment_score,positive_count,neutral_count,negative_count,avg_bert_score,avg_vader_score,positive_pct,neutral_pct,negative_pct
nikkibeautybliss,1,0.9774,1,0,0,0.9759,0.9808,100.0,0.0,0.0
thataylaa,1,0.977,1,0,0,0.9702,0.9929,100.0,0.0,0.0
dollarlashclub,1,0.9766,1,0,0,0.9808,0.9668,100.0,0.0,0.0
bostanley,1,0.9728,1,0,0,0.9663,0.9881,100.0,0.0,0.0
wendyhung915,1,0.9696,1,0,0,0.9689,0.9711,100.0,0.0,0.0
adou_bn,1,0.9682,1,0,0,0.965,0.9755,100.0,0.0,0.0
runwithnoregrets,1,0.9663,1,0,0,0.9579,0.986,100.0,0.0,0.0
camillecharriere,1,0.9661,1,0,0,0.9585,0.9837,100.0,0.0,0.0
madisonriding,1,0.9659,1,0,0,0.9611,0.9772,100.0,0.0,0.0
cortneynovogratz,1,0.9652,1,0,0,0.9673,0.9602,100.0,0.0,0.0
mytravelation,1,0.965,1,0,0,0.9671,0.96,100.0,0.0,0.0
mariaqueroloficial,1,0.9642,1,0,0,0.9502,0.997,100.0,0.0,0.0
danellehallanyt,1,0.9629,1,0,0,0.9484,0.9968,100.0,0.0,0.0
laurayaminreads,1,0.9627,1,0,0,0.9555,0.9794,100.0,0.0,0.0
ivettesaucedo,1,0.9626,1,0,0,0.9509,0.9899,100.0,0.0,0.0
crateandcottage,1,0.9623,1,0,0,0.9537,0.9823,100.0,0.0,0.0
mintcandydesigns,1,0.9619,1,0,0,0.9538,0.9808,100.0,0.0,0.0
itsmajoseman,1,0.9614,1,0,0,0.9531,0.9808,100.0,0.0,0.0
thebeckseffect,1,0.9607,1,0,0,0.9567,0.9701,100.0,0.0,0.0
christinaricucci,1,0.9607,1,0,0,0.961,0.96,100.0,0.0,0.0
andresemb07,1,0.9607,1,0,0,0.9624,0.9566,100.0,0.0,0.0
amanda_nawfal_sayde,1,0.9602,1,0,0,0.9648,0.9495,100.0,0.0,0.0
katcarney,1,0.9601,1,0,0,0.9573,0.9667,100.0,0.0,0.0
christineleeee,1,0.96,1,0,0,0.9472,0.9898,100.0,0.0,0.0
thelagirl,1,0.96,1,0,0,0.9561,0.969,100.0,0.0,0.0
justvictoria_nosecret,1,0.9599,1,0,0,0.9584,0.9635,100.0,0.0,0.0
padzy_official,1,0.9594,1,0,0,0.9715,0.931,100.0,0.0,0.0
lyds_makeup,1,0.9594,1,0,0,0.9474,0.9873,100.0,0.0,0.0
pointerproblems,1,0.9592,1,0,0,0.953,0.9738,100.0,0.0,0.0
